lat,lng,address
37.79405,-122.47581,"1420 Washington Blvd, Golden Gate National Recreation Area, San Francisco, CA 94129, USA"
37.71431,-122.43264,"901-999 Moscow St, San Francisco, CA 94112, USA"
37.712,-122.382,"500-518 San Francisco Bicycle Route 805, San Francisco, CA 94124, USA"
37.72635,-122.46993,"130 Cerritos Ave, San Francisco, CA 94127, USA"
37.7871,-122.38676,"30 Bryant St, San Francisco, CA 94105, USA"
37.80549,-122.4669,"Pearce St, Golden Gate National Recreation Area, San Francisco, CA 94129, USA"
37.76995,-122.45581,"273-499 Kezar Dr, San Francisco, CA 94117, USA"
37.78997,-122.44422,"2038 Baker St, San Francisco, CA 94115, USA"
37.78573,-122.39235,"425 1st St, San Francisco, CA 94105, USA"
37.76402,-122.49758,"1222-1226 38th Ave, San Francisco, CA 94122, USA"
37.74173,-122.38958,"1698 Galvez Ave, San Francisco, CA 94124, USA"
37.77575,-122.43195,"940 Hayes St, San Francisco, CA 94117, USA"
37.80034,-122.44007,"2231 Chestnut St, San Francisco, CA 94123, USA"
37.73806,-122.44799,"115 Bella Vista Way, San Francisco, CA 94127, USA"
37.7761,-122.41612,"800-898 Jessie St, San Francisco, CA 94103, USA"
37.71419,-122.41619,"1700 Visitacion Ave, San Francisco, CA 94134, USA"
37.79971,-122.43613,"2101 U.S. 101, San Francisco, CA 94123, USA"
37.774,-122.46593,"788 8th Ave, San Francisco, CA 94118, USA"
37.77579,-122.39974,"635-651 Brannan St, San Francisco, CA 94107, USA"
37.78102,-122.51419,"Sutro Baths Upper Trail, Golden Gate National Recreation Area, Lands End, San Francisco, CA 94121, USA"
37.74437,-122.37741,"620-798 Amador St, San Francisco, CA 94124, USA"
37.74035,-122.50736,"1613-1663 Great Hwy, San Francisco, CA 94116, USA"
37.78002,-122.45608,"77 Stanyan St, San Francisco, CA 94118, USA"
37.77802,-122.4418,"701-799 San Francisco Bicycle Route 20, San Francisco, CA 94115, USA"
37.73045,-122.47433,"83-95 Rossmoor Dr, San Francisco, CA 94132, USA"
37.74199,-122.41379,"72 Gates St, San Francisco, CA 94110, USA"
37.78857,-122.48934,"300 Sea Cliff Ave, San Francisco, CA 94121, USA"
37.80996,-122.41012,"39 Pier 39 Concourse, San Francisco, CA 94133, USA"
37.75627,-122.39003,"1 Tubbs St, San Francisco, CA 94107, USA"
37.73201,-122.49602,"132-140 Huntington Dr, San Francisco, CA 94132, USA"
37.76598,-122.49799,"San Francisco Bicycle Route 830, San Francisco, CA 94122, USA"
37.76996,-122.45029,"525 Cole St, San Francisco, CA 94117, USA"
37.7491,-122.5085,"1507 Great Hwy, San Francisco, CA 94122, USA"
37.72431,-122.40613,"401-465 Woolsey St, San Francisco, CA 94134, USA"
37.736,-122.45,"100-120 Stanford Heights Ave, San Francisco, CA 94127, USA"
37.7199,-122.42404,"1201-1313 Brazil Ave, San Francisco, CA 94134, USA"
37.72385,-122.41626,"418 Yale St, San Francisco, CA 94134, USA"
37.79908,-122.48098,"421-453 Lincoln Blvd, Golden Gate National Recreation Area, San Francisco, CA 94129, USA"
37.77446,-122.4421,"1555-1575 Hayes St, San Francisco, CA 94117, USA"
37.7557,-122.38293,"401 23rd St, San Francisco, CA 94107, USA"
37.7538,-122.45188,"656 Panorama Dr, San Francisco, CA 94131, USA"
37.72826,-122.50273,"100 Armory Rd, San Francisco, CA 94132, USA"
37.8001,-122.42002,"1245-1259 Filbert St, San Francisco, CA 94109, USA"
37.73572,-122.38215,"20 Cashmere St, San Francisco, CA 94124, USA"
37.78779,-122.47998,"Howard Rd, Golden Gate National Recreation Area, San Francisco, CA 94129, USA"
37.74391,-122.43806,"5329 Diamond Heights Blvd, San Francisco, CA 94131, USA"
37.75603,-122.42564,"832-846 Dolores St, San Francisco, CA 94114, USA"
37.70184,-122.46969,"500-526 N Parkview Ave, Daly City, CA 94014, USA"
37.75599,-122.48627,"1601-1699 28th Ave, San Francisco, CA 94122, USA"
37.78827,-122.46,"5-9 Presidio Terrace, San Francisco, CA 94118, USA"
37.80994,-122.41211,"The Embarcadero, San Francisco, CA 94133, USA"
37.74597,-122.382,"600 Amador St, San Francisco, CA 94124, USA"
37.80694,-122.43429,"San Francisco Bay Trail, Golden Gate National Recreation Area, San Francisco, CA 94123, USA"
37.77595,-122.41193,"1200-1268 San Francisco Bicycle Route 30, San Francisco, CA 94103, USA"
37.76199,-122.41016,"1910-1998 Bryant St, San Francisco, CA 94110, USA"
37.71989,-122.41444,"61 John F Shelley Dr, San Francisco, CA 94134, USA"
37.74001,-122.47978,"2550 23rd Ave, San Francisco, CA 94116, USA"
37.77972,-122.49398,"6938 Geary Blvd, San Francisco, CA 94121, USA"
37.758,-122.39998,"824-828 Carolina St, San Francisco, CA 94107, USA"
37.79808,-122.48159,"271-419 Lincoln Blvd, Golden Gate National Recreation Area, San Francisco, CA 94129, USA"
37.72198,-122.44741,"Balboa Park, San Francisco, CA 94112, USA"
37.70379,-122.45184,"57-61 Alexander Ave, Daly City, CA 94014, USA"
37.722,-122.45212,"71-99 Edgar Pl, San Francisco, CA 94112, USA"
37.70383,-122.40748,"2800 Bayshore Blvd, Brisbane, CA 94005, USA"
37.77603,-122.43971,"616-634 Broderick St, San Francisco, CA 94117, USA"
37.78429,-122.41006,"144 Eddy St, San Francisco, CA 94102, USA"
37.72603,-122.41599,"1195-1199 Burrows St, San Francisco, CA 94134, USA"
37.71591,-122.44211,"17-21 Niagara Ave, San Francisco, CA 94112, USA"
37.73026,-122.46591,"451-599 Upland Dr, San Francisco, CA 94127, USA"
37.8078,-122.42655,"3299 Van Ness Ave, Golden Gate National Recreation Area, San Francisco, CA 94109, USA"
37.75585,-122.44592,"413-429 Twin Peaks Blvd, San Francisco, CA 94131, USA"
37.76588,-122.40599,"1901-1999 16th St, San Francisco, CA 94103, USA"
37.71596,-122.47799,"433-499 Gonzalez Dr, San Francisco, CA 94132, USA"
37.79388,-122.43797,"2480-2498 Broadway St, San Francisco, CA 94123, USA"
37.754,-122.38794,"2800 3rd St, San Francisco, CA 94107, USA"
37.71527,-122.49282,"465-637 John Muir Dr, San Francisco, CA 94132, USA"
37.76,-122.49192,"1454 33rd Ave, San Francisco, CA 94122, USA"
37.71231,-122.458,"164 Sadowa St, San Francisco, CA 94112, USA"
37.75399,-122.48613,"1787-1799 28th Ave, San Francisco, CA 94122, USA"
37.75018,-122.42602,"3855 25th St, San Francisco, CA 94114, USA"
37.73232,-122.452,"734-738 Joost Ave, San Francisco, CA 94127, USA"
37.73179,-122.4119,"342 Sweeny St, San Francisco, CA 94134, USA"
37.77788,-122.41215,"2-48 Julia St, San Francisco, CA 94103, USA"
37.70722,-122.482,"274 Wilshire Ave, Daly City, CA 94015, USA"
37.754,-122.38597,"1200-1218 Michigan St, San Francisco, CA 94107, USA"
37.72994,-122.41222,"439 Bowdoin St, San Francisco, CA 94134, USA"
37.78587,-122.50184,"Lands End Trail, Golden Gate National Recreation Area, San Francisco, CA 94121, USA"
37.79976,-122.42195,"1364-1380 Filbert St, San Francisco, CA 94109, USA"
37.71601,-122.44601,"161-167 Rome St, San Francisco, CA 94112, USA"
37.73998,-122.39396,"948-1066 Quint St, San Francisco, CA 94124, USA"
37.82178,-122.52956,"981 Fort Barry, Golden Gate National Recreation Area, Mill Valley, CA 94941, USA"
37.74999,-122.50807,"1948 Great Hwy, San Francisco, CA 94122, USA"
37.80748,-122.44556,"Estrian Way, Golden Gate National Recreation Area, San Francisco, CA 94123, USA"
37.80191,-122.43478,"3500 Fillmore St, San Francisco, CA 94123, USA"
37.75,-122.45212,"300-372 Panorama Dr, San Francisco, CA 94131, USA"
37.79058,-122.4771,"1539 Pershing Dr, Golden Gate National Recreation Area, San Francisco, CA 94129, USA"
37.80601,-122.45553,"San Francisco Bay Trail, Golden Gate National Recreation Area, San Francisco, CA 94129, USA"
37.77001,-122.42389,"70-98 Pearl St, San Francisco, CA 94103, USA"
37.78571,-122.41394,"555 O'Farrell St, San Francisco, CA 94102, USA"
37.73,-122.436,"241 Theresa St, San Francisco, CA 94112, USA"
37.78399,-122.48825,"California St & 28th Ave, San Francisco, CA 94121, USA"
37.7361,-122.50683,"1689-1699 Great Hwy, San Francisco, CA 94116, USA"
37.70776,-122.49836,"1001-1089 State Highway 35, Daly City, CA 94015, USA"
37.71472,-122.42553,"2347 Sunnydale Ave, San Francisco, CA 94134, USA"
37.76599,-122.466,"700-798 Lincoln Way, San Francisco, CA 94122, USA"
37.70192,-122.49428,"91 Garden Grove Dr, Daly City, CA 94015, USA"
37.7638,-122.5106,"1301-1347 Great Hwy, San Francisco, CA 94122, USA"
37.73403,-122.49799,"Sloat Blvd & 41st Ave, San Francisco, CA 94132, USA"
37.70607,-122.40626,"2690 Bayshore Blvd, Daly City, CA 94014, USA"
37.7781,-122.43602,"1444 McAllister St, San Francisco, CA 94115, USA"
37.75401,-122.49366,"1771-1775 35th Ave, San Francisco, CA 94122, USA"
37.74209,-122.46188,"175-181 Granville Way, San Francisco, CA 94127, USA"
37.79786,-122.39387,"2 Pier, San Francisco, CA 94105, USA"
37.73815,-122.40607,"301-347 Industrial St, San Francisco, CA 94124, USA"
37.76837,-122.482,"San Francisco Bicycle Route 34, San Francisco, CA 94122, USA"
37.73005,-122.39435,"63 Ceres St, San Francisco, CA 94124, USA"
37.71979,-122.46389,"499 Bright St, San Francisco, CA 94132, USA"
37.80617,-122.47192,"Hoffman St, Golden Gate National Recreation Area, San Francisco, CA 94129, USA"
37.74559,-122.50804,"1509-1559 Great Hwy, San Francisco, CA 94116, USA"
37.74445,-122.39279,"364-498 Rankin St, San Francisco, CA 94124, USA"
37.78601,-122.46572,"137 7th Ave, San Francisco, CA 94118, USA"
37.76403,-122.45987,"1315 3rd Ave, San Francisco, CA 94122, USA"
37.77817,-122.40177,"21 Merlin St, San Francisco, CA 94107, USA"
37.77608,-122.42202,"229-265 Fell St, San Francisco, CA 94102, USA"
37.77994,-122.50799,"433-445 Point Lobos, San Francisco, CA 94121, USA"
37.74005,-122.46007,"4 Miraloma Dr, San Francisco, CA 94127, USA"
37.77417,-122.39422,"235 Berry St, San Francisco, CA 94158, USA"
37.80404,-122.40576,"1-99 Winthrop St, San Francisco, CA 94133, USA"
37.72441,-122.49478,"401-457 Harding Rd, San Francisco, CA 94132, USA"
37.75862,-122.50988,"1353-1395 Great Hwy, San Francisco, CA 94122, USA"
37.74973,-122.49399,"3131-3199 Pacheco St, San Francisco, CA 94116, USA"
37.75573,-122.41397,"2950-2998 San Francisco Bicycle Route 44, San Francisco, CA 94110, USA"
37.77586,-122.39182,"185 Berry St, San Francisco, CA 94107, USA"
37.77401,-122.47571,"738-742 17th Ave, San Francisco, CA 94121, USA"
37.70375,-122.39836,"595 Tunnel Ave, Brisbane, CA 94005, USA"
37.80394,-122.41599,"2-28 Houston St, San Francisco, CA 94133, USA"
37.74977,-122.4604,"157-191 Laguna Honda Blvd, San Francisco, CA 94131, USA"
37.788,-122.41,"441 Mason St, San Francisco, CA 94102, USA"
37.78798,-122.50584,"Lands End Trail, Golden Gate National Recreation Area, Lands End, San Francisco, CA 94121, USA"
37.78809,-122.39188,"321-387 Beale St, San Francisco, CA 94105, USA"
37.7299,-122.446,"271 Flood Ave, San Francisco, CA 94112, USA"
37.71192,-122.40772,"851-857 Rutland St, San Francisco, CA 94134, USA"
37.71007,-122.45997,"3201-3279 Alemany Blvd, San Francisco, CA 94112, USA"
37.79998,-122.40419,"1158-1170 Montgomery St, San Francisco, CA 94133, USA"
37.80951,-122.41669,"1-79 Fishermans Wharf, San Francisco, CA 94133, USA"
37.74292,-122.5077,"1561-1611 Great Hwy, San Francisco, CA 94116, USA"
37.71406,-122.43413,"955-961 Athens St, San Francisco, CA 94112, USA"
37.76231,-122.45653,"134 Medical Center Way, San Francisco, CA 94117, USA"
37.70802,-122.43999,"84-90 Bellevue Ave, San Francisco, CA 94112, USA"
37.74581,-122.49799,"2930-2936 Rivera St, San Francisco, CA 94116, USA"
37.77801,-122.4738,"523 15th Ave, San Francisco, CA 94118, USA"
37.7718,-122.38675,"743-799 Terry A Francois Blvd, San Francisco, CA 94158, USA"
37.72592,-122.3785,"1300-1398 Fitch St, San Francisco, CA 94124, USA"
37.718,-122.396,"946 Le Conte Ave, San Francisco, CA 94124, USA"
37.73245,-122.5072,"2879 Great Hwy, San Francisco, CA 94132, USA"
37.75058,-122.3827,"400 Cesar Chavez St, San Francisco, CA 94124, USA"
37.78799,-122.39001,"400-420 Main St, San Francisco, CA 94105, USA"
37.78616,-122.47601,"1521 Lake St, San Francisco, CA 94118, USA"
37.72243,-122.4941,"99 Harding Rd, San Francisco, CA 94132, USA"
37.78788,-122.49154,"496 Sea Cliff Ave, San Francisco, CA 94121, USA"
37.73993,-122.40197,"15 Dorman Ave, San Francisco, CA 94124, USA"
37.76996,-122.50401,"San Francisco Bicycle Route 730, San Francisco, CA 94121, USA"
37.75108,-122.50875,"1457-1507 Great Hwy, San Francisco, CA 94122, USA"
37.74601,-122.50384,"2174-2178 45th Ave, San Francisco, CA 94116, USA"
37.7219,-122.4222,"1700 Bacon St, San Francisco, CA 94134, USA"
37.80395,-122.47569,"272-366 Lincoln Blvd, Golden Gate National Recreation Area, San Francisco, CA 94129, USA"
37.72385,-122.41299,"1101 Wayland St, San Francisco, CA 94134, USA"
37.766,-122.45,"877-899 Cole St, San Francisco, CA 94117, USA"
37.78602,-122.46357,"136 5th Ave, San Francisco, CA 94118, USA"
37.78993,-122.47207,"Wyman Ave, Golden Gate National Recreation Area, San Francisco, CA 94129, USA"
37.74993,-122.39399,"1716-1750 Cesar Chavez St, San Francisco, CA 94124, USA"
37.76178,-122.43794,"2640 Market St, San Francisco, CA 94114, USA"
37.72664,-122.50557,"3001-3039 Great Hwy, San Francisco, CA 94132, USA"
37.72384,-122.40794,"615-617 Woolsey St, San Francisco, CA 94134, USA"
37.79588,-122.42997,"1923-1999 Vallejo St, San Francisco, CA 94123, USA"
37.77563,-122.45392,"2540-2556 McAllister St, San Francisco, CA 94117, USA"
37.73601,-122.38585,"Whitney Young Cir, San Francisco, CA 94124, USA"
37.71195,-122.41181,"130 Rey St, San Francisco, CA 94134, USA"
37.77848,-122.51359,"725-825 Point Lobos, Golden Gate National Recreation Area, San Francisco, CA 94121, USA"
37.70607,-122.42836,"163 Oakridge Dr, Daly City, CA 94014, USA"
37.71205,-122.42822,"1539-1561 Geneva Ave, San Francisco, CA 94112, USA"
37.72393,-122.40426,"656 Brussels St, San Francisco, CA 94134, USA"
37.74159,-122.39433,"1858-1878 Jerrold Ave, San Francisco, CA 94124, USA"
37.8061,-122.41802,"628-678 North Point St, San Francisco, CA 94133, USA"
37.81079,-122.47764,"1413 Golden Gate Bridge, Golden Gate National Recreation Area, San Francisco, CA 94129, USA"
37.7037,-122.43404,"103 Alta Vista Way, Daly City, CA 94014, USA"
37.75246,-122.39405,"1549-1621 25th St, San Francisco, CA 94107, USA"
37.728,-122.45004,"370 Judson Ave, City College of San Francisco, San Francisco, CA 94112, USA"
37.79401,-122.43992,"2610 Scott St, San Francisco, CA 94123, USA"
37.72797,-122.402,"1907 Egbert Ave, San Francisco, CA 94124, USA"
37.78399,-122.4602,"251-253 2nd Ave, San Francisco, CA 94118, USA"
37.76398,-122.4084,"445 Hampshire St, San Francisco, CA 94110, USA"
37.80634,-122.41607,"555 North Point St, San Francisco, CA 94133, USA"
37.75048,-122.38404,"273-705 Cesar Chavez St, San Francisco, CA 94124, USA"
37.72005,-122.5045,"547-621 State Highway 35, San Francisco, CA 94132, USA"
37.76766,-122.50693,"1401-1599 John F Kennedy Dr, San Francisco, CA 94121, USA"
37.80343,-122.401,"1300 Battery St, San Francisco, CA 94111, USA"
37.73304,-122.50721,"2801-2879 Great Hwy, San Francisco, CA 94132, USA"
37.70776,-122.45587,"6024 Mission St, Daly City, CA 94014, USA"
37.80373,-122.43595,"1756 North Point St, San Francisco, CA 94123, USA"
37.80989,-122.47633,"Marine Dr, San Francisco, CA 94129, USA"
37.72589,-122.5041,"3576 Great Hwy, San Francisco, CA 94132, USA"
37.77199,-122.45788,"Pompei Cir, San Francisco, CA 94117, USA"
37.75601,-122.40369,"1024-1148 Vermont St, San Francisco, CA 94110, USA"
37.75654,-122.50964,"1403 Great Hwy, San Francisco, CA 94122, USA"
37.77001,-122.402,"653-685 King St, San Francisco, CA 94107, USA"
37.74822,-122.38829,"1799 Tennessee St, San Francisco, CA 94124, USA"
37.74598,-122.41428,"65-67 Manchester St, San Francisco, CA 94110, USA"
37.76797,-122.45598,"500-680 Kezar Dr, San Francisco, CA 94117, USA"
37.77385,-122.40419,"500-598 San Francisco Bicycle Route 23, San Francisco, CA 94103, USA"
37.76181,-122.38798,"560 19th St, San Francisco, CA 94107, USA"
37.74006,-122.45413,"836-898 Myra Way, San Francisco, CA 94127, USA"
37.78219,-122.40824,"444-460 Jessie St, San Francisco, CA 94103, USA"
37.778,-122.47599,"530 17th Ave, San Francisco, CA 94121, USA"
37.77403,-122.39203,"San Francisco, CA 94158, USA"
37.752,-122.44246,"468-522 Grand View Ave, San Francisco, CA 94114, USA"
37.7878,-122.47409,"1808 Wedemeyer St, Golden Gate National Recreation Area, San Francisco, CA 94129, USA"
37.71421,-122.44815,"2659 Alemany Blvd, San Francisco, CA 94112, USA"
37.78207,-122.44203,"2300-2398 O'Farrell St, San Francisco, CA 94118, USA"
37.78211,-122.40414,"837-899 San Francisco Bicycle Route 30, San Francisco, CA 94103, USA"
37.76203,-122.42162,"675 Valencia St, San Francisco, CA 94110, USA"
37.75833,-122.42403,"3700-3732 20th St, San Francisco, CA 94110, USA"
37.748,-122.4739,"2137 17th Ave, San Francisco, CA 94116, USA"
37.70253,-122.43345,"Saddle Loop Trail, Daly City, CA 94014, USA"
37.79656,-122.47569,"Hunter Rd, Golden Gate National Recreation Area, San Francisco, CA 94129, USA"
37.70396,-122.41404,"1-15 Cypress Ln, Daly City, CA 94014, USA"
37.71235,-122.468,"445-499 San Francisco Bicycle Route 98, San Francisco, CA 94132, USA"
37.78173,-122.42995,"1346 Eddy St, San Francisco, CA 94115, USA"
