lat,lng,duration
37.704,-122.444,37.716,-122.488,2659
37.708,-122.482,37.808,-122.422,3566
37.71,-122.528,37.794,-122.416,4616
37.704,-122.488,37.75,-122.504,2453
37.708,-122.44,37.782,-122.46,2822
lat,lng,duration
37.792,-122.412,37.81,-122.492,3230
37.712,-122.436,37.8,-122.458,2921
37.796,-122.474,37.73,-122.45,2770
37.776,-122.528,37.734,-122.412,2135
37.716,-122.46,37.744,-122.442,1562
37.79,-122.488,37.784,-122.444,1016
37.79,-122.382,37.762,-122.454,3269
37.788,-122.42,37.756,-122.41,1085
37.788,-122.404,37.768,-122.508,4030
37.712,-122.388,37.762,-122.48,3536
37.81,-122.416,37.702,-122.476,5111
37.726,-122.436,37.726,-122.46,1152
37.716,-122.524,37.754,-122.378,5047
37.716,-122.45,37.736,-122.492,1682
37.746,-122.41,37.708,-122.414,2343
37.728,-122.388,37.788,-122.408,2023
37.712,-122.382,37.784,-122.526,2956
37.756,-122.486,37.756,-122.438,2082
37.788,-122.462,37.742,-122.392,2067
37.782,-122.452,37.754,-122.43,1891
37.75,-122.516,37.758,-122.494,1175
37.76,-122.404,37.8,-122.394,2294
37.752,-122.406,37.766,-122.522,3248
37.748,-122.466,37.774,-122.464,1162
37.808,-122.386,37.754,-122.45,3262
37.74,-122.426,37.744,-122.48,2062
37.788,-122.452,37.81,-122.474,1538
37.78,-122.44,37.774,-122.518,2610
37.736,-122.4,37.804,-122.516,3144
37.772,-122.38,37.75,-122.386,1093
37.74,-122.386,37.788,-122.498,2523
37.74,-122.498,37.76,-122.394,2996
37.758,-122.412,37.724,-122.488,2646
37.792,-122.402,37.704,-122.476,5450
37.752,-122.45,37.71,-122.382,2594
37.706,-122.422,37.8,-122.428,3068
37.708,-122.434,37.754,-122.482,1903
37.702,-122.4,37.776,-122.48,2595
37.792,-122.414,37.748,-122.392,1560
37.72,-122.416,37.754,-122.422,1741
37.744,-122.392,37.74,-122.416,1400
37.74,-122.518,37.78,-122.408,4042
37.746,-122.416,37.804,-122.386,2684
37.81,-122.442,37.778,-122.486,1668
37.768,-122.408,37.724,-122.416,2088
37.784,-122.384,37.75,-122.4,2047
37.774,-122.412,37.714,-122.388,2039
37.72,-122.43,37.712,-122.38,2854
37.776,-122.438,37.762,-122.516,2701
37.75,-122.51,37.8,-122.436,3193
37.746,-122.394,37.73,-122.382,1239
37.776,-122.422,37.776,-122.426,296
37.702,-122.498,37.738,-122.46,1948
37.762,-122.446,37.716,-122.476,2056
37.77,-122.474,37.788,-122.394,3663
37.738,-122.456,37.78,-122.444,2700
37.776,-122.468,37.75,-122.44,1987
37.776,-122.514,37.75,-122.466,1781
37.798,-122.508,37.75,-122.426,3109
37.766,-122.506,37.75,-122.498,1050
37.756,-122.4,37.78,-122.446,2104
37.776,-122.416,37.704,-122.392,2405
37.81,-122.524,37.716,-122.458,4105
37.748,-122.444,37.776,-122.44,2591
37.784,-122.402,37.798,-122.388,1307
37.788,-122.476,37.794,-122.418,1745
37.752,-122.484,37.79,-122.404,4109
